time,open,high,low,close,volume
2020-01-02,960.26,966.67,959.67,966.67,131523160
2020-01-03,968.72,970.88,965.14,965.14,149202550
2020-01-06,962.79,963.2,955.59,955.79,140978550
2020-01-07,955.39,959.46,953.19,958.88,130272030
2020-01-08,954.13,955.84,945.28,948.98,179374340
2020-01-09,953.86,960.73,952.16,960.15,132773820
2020-01-10,961.17,969.71,961.17,968.54,163058830
2020-01-13,966.89,968.63,964.79,965.84,117952020
2020-01-14,966.26,968.85,965.76,967.0,127784380
2020-01-15,967.69,967.69,964.84,967.56,112470420
2020-01-16,967.2,974.7,967.17,974.31,146756870
2020-01-17,976.28,980.02,973.79,978.96,117216890
2020-01-20,978.23,979.85,975.93,978.63,102398830
2020-01-21,978.82,986.37,978.82,986.37,128887950
2020-01-22,986.52,991.46,983.92,991.46,128966880
2020-01-30,975.15,977.72,954.0,959.58,181385230
2020-01-31,955.56,960.96,936.62,936.62,210630210
2020-02-03,916.6,930.37,891.85,928.14,246408370
2020-02-04,929.42,934.91,919.33,929.09,178000400
2020-02-05,934.75,936.33,921.89,925.91,163682070
2020-02-06,926.66,938.54,925.21,938.54,206129040
2020-02-07,938.61,943.48,935.94,940.75,165020480
2020-02-10,934.38,935.87,926.61,930.73,129573270
2020-02-11,931.55,936.04,931.55,934.67,159265510
2020-02-12,940.72,943.11,937.34,937.68,187439280
2020-02-13,937.19,939.1,934.47,938.24,163399728
2020-02-14,939.28,940.65,936.47,937.45,172195600
2020-02-17,938.52,938.52,931.66,934.77,149349950
2020-02-18,934.47,934.98,926.01,927.93,164327840
2020-02-19,926.41,931.66,925.86,928.76,161801070
2020-02-20,933.69,938.13,930.41,938.13,183636850
2020-02-21,937.13,940.53,932.32,933.09,179503790
2020-02-24,917.49,917.49,903.34,903.34,255965410
2020-02-25,893.95,909.67,893.95,909.67,186008510
2020-02-26,901.51,903.27,894.25,895.97,131173700
2020-02-27,892.15,899.34,889.14,898.44,135468580
2020-02-28,885.47,887.07,872.46,882.19,184315860
2020-03-02,878.43,886.45,877.31,884.43,173927240
2020-03-03,895.39,896.39,890.06,890.61,176373200
2020-03-04,887.85,889.85,882.83,889.37,195439390
2020-03-05,892.71,898.43,891.2,893.31,209158850
2020-03-06,888.96,891.44,882.71,891.44,175600680
2020-03-09,875.8,875.8,834.67,835.49,273180820
2020-03-10,813.83,843.28,806.63,837.5,242825240
2020-03-11,843.52,844.94,794.54,811.35,278303370
2020-03-12,778.06,778.06,762.12,769.25,311344630
2020-03-13,750.56,764.69,723.42,761.78,289011560
2020-03-16,758.28,758.59,737.58,747.86,222784370
2020-03-17,724.07,750.03,721.84,745.78,202420360
2020-03-18,747.4,752.65,742.12,747.66,205460100
2020-03-19,732.35,733.43,714.02,725.94,308921920
2020-03-20,728.55,729.35,709.73,709.73,197474500
2020-03-23,694.77,694.77,664.23,666.59,223310850
2020-03-24,655.49,666.28,652.27,659.21,212661260
2020-03-25,669.76,690.25,667.58,690.25,209923920
2020-03-26,689.0,700.76,680.1,694.21,171216480
2020-03-27,692.54,703.22,682.52,696.06,212339560
2020-03-30,663.91,665.56,657.36,662.26,194282800
2020-03-31,669.74,678.64,649.1,662.53,227893260
2020-04-01,658.8,684.96,657.41,680.23,203313080
2020-04-03,687.92,701.8,687.92,701.8,197918250
2020-04-06,716.22,736.75,715.39,736.75,304964360
2020-04-07,744.97,749.13,730.28,746.69,276556810
2020-04-08,740.03,748.36,730.12,748.02,203416250
2020-04-09,751.08,765.87,751.08,760.33,271131720
2020-04-10,759.08,764.36,751.59,757.94,295263430
2020-04-13,762.99,774.62,762.53,765.79,200195470
2020-04-14,769.01,769.53,753.85,767.41,229143390
2020-04-15,768.05,779.52,768.01,777.22,255468260
2020-04-16,773.11,781.06,770.91,780.7,217009350
2020-04-17,786.96,790.95,783.74,789.6,268469130
2020-04-20,796.17,797.49,786.73,794.97,304592700
2020-04-21,784.4,789.37,761.96,766.84,368523950
2020-04-22,752.8,774.94,749.97,768.92,223471930
2020-04-23,784.14,785.6,771.88,773.91,189393000
2020-04-24,777.28,778.3,767.31,776.66,226072090
2020-04-27,780.65,785.74,770.77,770.77,256843490
2020-04-28,773.31,776.13,763.66,767.21,197231630
2020-04-29,768.59,772.62,768.19,769.11,210867100
2020-05-04,766.14,769.73,761.64,762.47,253967720
2020-05-05,763.22,767.03,760.04,764.16,168997250
2020-05-06,767.3,782.59,765.37,782.59,209914330
2020-05-07,785.08,796.54,785.08,796.54,214433830
2020-05-08,800.32,825.72,800.2,813.73,340156270
2020-05-11,818.26,828.33,812.48,828.33,268927930
2020-05-12,827.29,835.95,819.66,835.32,290069940
2020-05-13,829.83,839.59,815.13,834.21,338667310
2020-05-14,830.97,836.19,826.17,832.4,273950180
2020-05-15,835.42,838.47,824.59,827.03,258289700
2020-05-18,827.49,837.61,823.08,837.01,224260950
2020-05-19,852.14,854.25,844.15,845.92,293801450
2020-05-20,843.26,852.91,842.21,852.91,235672860
2020-05-21,854.93,862.73,854.04,862.73,301190730
2020-05-22,859.29,860.65,852.08,852.74,265002610
2020-05-25,852.9,860.45,849.12,859.04,259643410
2020-05-26,861.47,869.65,860.22,869.13,306464080
2020-05-27,873.42,875.35,857.48,857.48,354487370
2020-05-28,858.97,866.17,856.48,861.39,261439230
2020-05-29,861.59,866.95,859.26,864.47,281746500
2020-06-01,868.97,878.67,868.97,878.67,418333970
2020-06-02,879.23,882.73,874.53,874.8,442308030
2020-06-03,876.73,881.17,874.01,881.17,285088708
2020-06-04,883.22,888.32,883.22,883.9,357669059
2020-06-05,883.4,886.59,878.5,886.22,403215436
2020-06-08,888.7,905.65,888.7,899.92,509361980
2020-06-09,902.26,904.89,898.87,903.1,311668275
2020-06-10,898.78,902.69,890.3,900.68,394416889
2020-06-11,900.48,903.7,867.37,867.37,623766555
2020-06-12,841.85,863.52,841.44,863.52,544093628
2020-06-15,867.52,868.16,832.47,832.47,459911916
2020-06-16,848.86,858.7,844.67,856.13,359812660
2020-06-17,861.05,861.05,852.27,854.44,311400140
2020-06-18,850.92,858.03,847.49,855.27,234958560
2020-06-19,857.77,868.56,857.77,868.56,372261840
2020-06-22,871.56,872.94,867.37,871.28,330561410
2020-06-23,871.12,873.2,864.02,868.2,400635460
2020-06-24,868.56,873.13,857.58,859.71,340026770
2020-06-25,851.09,856.23,849.65,854.59,285078310
2020-06-26,859.07,862.59,850.66,851.98,258644960
2020-06-29,846.26,846.53,826.0,829.36,335622750
2020-06-30,836.72,840.31,821.92,825.11,308543890
2020-07-01,827.67,844.26,826.38,843.49,251635370
2020-07-02,845.66,845.66,838.48,842.38,190900470
2020-07-03,845.26,848.16,843.25,847.61,172688260
2020-07-06,851.47,861.85,850.04,861.16,194421760
2020-07-07,865.46,870.63,863.42,863.42,284435650
2020-07-08,861.75,865.58,859.98,864.5,184014420
2020-07-09,867.66,878.36,867.45,876.46,259149310
2020-07-10,873.7,878.53,867.59,871.21,254910040
2020-07-13,874.85,876.83,866.99,868.72,203912630
2020-07-14,865.01,868.11,860.28,868.11,204647390
2020-07-15,872.8,876.69,869.91,869.91,223490580
2020-07-16,871.81,876.83,869.25,876.83,220943960
2020-07-17,873.48,875.07,871.89,872.02,238997770
2020-07-20,870.66,871.64,861.4,861.4,256105460
2020-07-21,863.94,864.7,856.94,861.69,216046880
2020-07-22,862.8,864.0,854.97,855.08,207218280
2020-07-23,854.92,857.22,851.97,856.75,221114760
2020-07-24,854.23,854.57,816.65,829.16,436845540
2020-07-27,794.14,808.74,780.64,785.17,374271440
2020-07-28,786.72,814.4,786.67,813.36,310645950
2020-07-29,800.39,800.39,779.82,790.84,311001410
2020-07-30,796.22,802.97,794.88,801.13,163227530
2020-07-31,787.78,803.55,786.98,798.39,219670740
2020-08-03,796.86,814.84,796.47,814.65,244789940
2020-08-04,822.86,827.57,820.2,827.57,251465920
2020-08-05,827.54,839.52,820.74,837.8,264841620
2020-08-06,838.01,844.16,833.56,840.04,233729360
2020-08-07,840.65,844.33,836.84,841.46,230026640
2020-08-10,845.11,849.52,843.2,843.2,277423110
2020-08-11,847.61,847.61,840.35,843.08,226765520
2020-08-12,844.19,848.54,842.88,846.92,238422860
2020-08-13,849.96,855.19,849.86,855.05,236129250
2020-08-14,854.29,860.32,848.38,850.74,285091480
2020-08-17,848.08,852.05,841.62,850.15,215893300
2020-08-18,850.27,851.06,845.0,846.43,183415680
2020-08-19,847.19,853.15,846.22,851.21,214883630
2020-08-20,851.33,856.99,847.44,848.21,232011660
2020-08-21,849.99,856.45,849.69,854.78,262789870
2020-08-24,860.35,868.68,860.35,868.68,345727410
2020-08-25,870.92,877.57,870.92,874.12,342448420
2020-08-26,873.62,876.97,871.78,873.47,320824630
2020-08-27,872.38,875.71,871.93,874.71,279106260
2020-08-28,878.79,885.86,877.7,878.98,328738170
2020-08-31,882.13,888.44,879.26,881.65,333312960
