time,open,high,low,close,volume
2020-01-02,879.02,886.88,876.87,886.88,50389450
2020-01-03,887.11,890.38,883.18,883.28,43220590
2020-01-06,882.51,882.51,872.34,872.34,36868840
2020-01-07,872.32,877.34,870.49,876.7,40277740
2020-01-08,876.64,876.64,861.51,865.18,53101180
2020-01-09,867.27,878.43,867.27,877.76,45705720
2020-01-10,877.85,888.09,877.7,885.52,72856040
2020-01-13,884.95,885.45,881.35,881.79,32553390
2020-01-14,881.77,886.83,880.58,884.77,50679260
2020-01-15,884.95,886.33,882.79,885.36,35671150
2020-01-16,885.88,892.2,883.83,891.96,63476010
2020-01-17,891.66,897.63,891.36,894.84,48879990
2020-01-20,894.6,897.4,891.75,897.4,39722470
2020-01-21,897.97,907.51,897.97,906.52,57331520
2020-01-22,906.17,909.41,903.27,909.09,51710960
2020-01-30,908.2,908.2,870.53,875.82,80136320
2020-01-31,875.43,876.59,848.63,848.63,83267610
2020-02-03,848.42,848.42,803.73,842.67,91769740
2020-02-04,842.79,849.8,833.93,845.52,73132220
2020-02-05,845.65,854.72,840.41,845.31,63586260
2020-02-06,845.38,862.86,842.68,862.86,97615310
2020-02-07,862.71,865.91,858.02,863.49,72831920
2020-02-10,863.28,863.28,848.21,852.87,46861970
2020-02-11,853.09,859.38,853.09,856.39,70070560
2020-02-12,856.64,870.1,856.64,863.23,80775330
2020-02-13,862.72,864.79,858.46,864.16,58430270
2020-02-14,865.03,868.84,863.14,865.86,74645390
2020-02-17,865.83,867.45,862.75,866.27,58437180
2020-02-18,866.06,866.61,858.61,861.71,60234370
2020-02-19,860.23,865.4,859.65,863.84,52573160
2020-02-20,864.0,872.86,864.0,871.4,59013520
2020-02-21,871.49,877.52,868.59,868.89,66759070
2020-02-24,867.56,867.56,837.4,837.4,95170340
2020-02-25,836.54,849.58,827.81,849.58,69289070
2020-02-26,849.56,849.56,837.52,841.68,54642970
2020-02-27,841.19,849.18,836.56,848.34,55423910
2020-02-28,844.02,844.02,823.09,831.97,69885780
2020-03-02,831.25,837.99,827.23,835.42,69305330
2020-03-03,835.14,846.21,835.14,837.99,64175180
2020-03-04,838.02,839.26,831.2,837.99,52991210
2020-03-05,838.93,846.58,836.32,839.12,67022900
2020-03-06,838.77,838.77,827.12,835.97,53908060
2020-03-09,835.65,835.65,781.12,782.85,107131850
2020-03-10,780.66,794.88,762.34,789.51,90062880
2020-03-11,789.75,795.98,746.83,758.16,99250550
2020-03-12,757.9,757.9,710.33,719.21,113236020
2020-03-13,715.34,722.3,674.36,716.65,113472590
2020-03-16,716.52,716.52,688.8,698.18,74029820
2020-03-17,698.0,702.36,673.21,699.73,80439940
2020-03-18,699.93,705.3,695.42,700.65,77434820
2020-03-19,699.35,699.35,669.04,679.55,73193700
2020-03-20,679.78,683.55,668.9,673.7,81174090
2020-03-23,671.05,671.05,628.46,632.86,81061380
2020-03-24,632.63,633.97,619.07,625.43,85901840
2020-03-25,625.83,652.31,625.83,652.31,86267230
2020-03-26,651.94,655.06,639.02,646.7,74094650
2020-03-27,646.61,649.17,633.41,642.23,102644660
2020-03-30,641.92,641.92,605.0,613.02,81044380
2020-03-31,613.33,629.08,598.6,610.76,77472420
2020-04-01,609.35,631.6,606.03,628.79,73251500
2020-04-03,630.37,649.15,630.37,649.15,84127900
2020-04-06,649.81,682.65,649.81,682.65,127163130
2020-04-07,682.5,695.45,677.03,693.61,117080630
2020-04-08,693.66,693.66,675.26,691.17,76666570
2020-04-09,691.28,704.18,691.28,697.85,111266900
2020-04-10,697.9,701.77,687.18,695.74,146864700
2020-04-13,695.84,714.58,695.84,706.37,82299370
2020-04-14,706.24,713.81,699.03,713.81,94916160
2020-04-15,714.39,726.2,714.39,722.8,91992100
2020-04-16,721.73,726.71,714.52,726.57,72703140
2020-04-17,727.51,736.17,727.51,734.98,100568910
2020-04-20,736.1,742.27,729.52,736.31,99010230
2020-04-21,734.14,734.14,702.61,706.65,128951820
2020-04-22,706.54,718.62,692.03,714.42,86106800
2020-04-23,715.62,729.99,715.62,717.49,63426140
2020-04-24,717.41,725.52,711.14,725.05,64551610
2020-04-27,724.76,735.28,719.66,719.66,81802970
2020-04-28,719.45,721.73,711.84,715.74,64778960
2020-04-29,715.47,719.18,713.62,715.33,69755970
2020-05-04,714.9,716.05,706.47,709.35,65868010
2020-05-05,710.22,714.59,707.49,711.01,48703130
2020-05-06,711.34,725.94,709.77,725.94,77213190
2020-05-07,726.17,739.98,726.17,739.98,82601000
2020-05-08,740.14,773.22,740.14,760.15,146260040
2020-05-11,760.86,777.13,760.66,777.13,107514590
2020-05-12,777.35,783.77,766.7,782.45,104564430
2020-05-13,781.85,788.06,760.2,783.69,122448880
2020-05-14,782.87,785.1,773.62,780.73,86237430
2020-05-15,781.36,785.26,771.25,773.95,80443320
2020-05-18,774.07,787.27,770.61,787.27,81990780
2020-05-19,787.53,808.17,787.53,799.31,119339160
2020-05-20,799.28,803.35,793.75,803.32,97443060
2020-05-21,803.57,815.55,802.49,815.55,134973200
2020-05-22,815.51,815.51,802.82,803.14,95158480
2020-05-25,803.35,809.12,799.23,807.25,81739940
2020-05-26,807.55,815.96,807.55,815.01,101929820
2020-05-27,816.04,821.36,801.36,801.36,119115010
2020-05-28,801.38,810.43,800.16,804.06,91471520
2020-05-29,804.0,808.83,801.46,806.23,76808710
2020-06-01,806.44,821.47,806.44,821.47,176781350
2020-06-02,821.89,827.11,818.12,818.7,147384620
2020-06-03,819.02,824.54,818.33,824.29,89255290
2020-06-04,824.3,831.49,823.51,823.77,135464800
2020-06-05,823.46,826.47,818.33,826.47,147686540
2020-06-08,826.79,845.63,826.79,838.52,155914950
2020-06-09,839.19,843.58,836.13,837.02,152484730
2020-06-10,836.8,842.21,827.6,839.11,164035740
2020-06-11,839.02,842.76,806.64,806.87,191851870
2020-06-12,803.11,807.76,782.7,807.76,183055290
2020-06-15,808.58,813.59,778.71,778.71,141902860
2020-06-16,779.8,801.42,779.8,798.82,84854820
2020-06-17,799.14,802.06,793.2,796.43,76200410
2020-06-18,795.84,800.03,788.72,797.08,58891460
2020-06-19,797.21,808.28,797.03,808.28,81044560
2020-06-22,808.58,812.99,805.24,809.97,68483440
2020-06-23,809.53,812.24,803.96,807.61,95807000
2020-06-24,807.9,813.47,799.35,801.62,74689590
2020-06-25,801.29,801.29,791.38,796.51,74549190
2020-06-26,796.7,803.88,793.08,795.53,53642210
2020-06-29,795.11,795.11,768.99,774.81,97111120
2020-06-30,774.84,784.44,765.62,770.53,74258230
2020-07-01,770.23,787.38,770.02,786.82,56962280
2020-07-02,787.13,788.88,781.45,785.59,54056700
2020-07-03,785.81,790.3,785.81,789.87,43303010
2020-07-06,790.08,803.76,790.08,803.46,74204520
2020-07-07,803.61,812.48,803.61,805.68,87361600
2020-07-08,805.67,807.09,801.57,805.06,52132960
2020-07-09,805.12,819.45,805.12,817.08,81034330
2020-07-10,816.76,817.67,806.67,809.02,71215730
2020-07-13,809.03,814.35,802.5,806.17,65612220
2020-07-14,805.21,805.92,798.21,805.37,60124200
2020-07-15,805.38,815.09,805.38,810.16,53466480
2020-07-16,811.24,819.83,809.41,819.83,64520530
2020-07-17,819.27,819.27,812.61,814.16,65439170
2020-07-20,814.0,814.0,803.36,803.36,69313020
2020-07-21,803.55,806.34,799.98,804.7,62634380
2020-07-22,804.26,806.93,797.82,797.85,65223560
2020-07-23,797.94,800.29,794.59,800.29,73617580
2020-07-24,798.89,798.89,760.56,772.29,142231570
2020-07-27,767.3,767.3,726.02,729.93,127324950
2020-07-28,730.55,757.5,730.55,756.17,106762410
2020-07-29,755.14,755.14,722.85,735.16,95374560
